School_ID,Safety_Icon,Safety_Score,Environment_Icon,Environment_Score,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Healthy_Schools_Certified,Adequate_Yearly_Progress_Made,Individualized_Education_Program_Compliance_Rate
609916.0,Weak,30,Strong,65,Probation,Level 3,No,,
609917.0,Weak,29,Very Weak,17,Probation,Level 3,No,,
609918.0,Average,42,Average,47,Not on Probation,Level 2,No,,
609919.0,Very Weak,13,Weak,37,Probation,Level 3,No,,
609920.0,Average,44,Average,48,Probation,Level 3,No,,
609921.0,Average,42,Very Weak,19,Probation,Level 3,No,,
609922.0,Strong,75,Strong,67,Not on Probation,Level 2,No,,
609924.0,Weak,34,Strong,61,Not on Probation,Level 2,No,,
609925.0,Average,58,Average,42,Not on Probation,Level 2,No,,
609926.0,Very Strong,87,Strong,60,Not on Probation,Level 1,No,,
609927.0,Very Weak,11,Weak,20,Probation,Level 3,No,,
609928.0,Weak,22,Weak,32,Probation,Level 3,No,,
609929.0,Average,46,Strong,63,Probation,Level 2,No,,
609930.0,Very Weak,16,Very Weak,14,Probation,Level 3,No,,
609932.0,NDA,,NDA,,Not on Probation,Level 2,No,,
609933.0,Weak,39,Weak,35,Probation,Level 3,No,,
609935.0,Average,49,Weak,37,Not on Probation,Level 2,No,,
609937.0,Strong,60,Average,50,Not on Probation,Level 1,No,,
609938.0,Weak,32,Weak,29,Not on Probation,Level 2,No,,
609939.0,Weak,27,Weak,30,Probation,Level 2,No,,
609941.0,Very Weak,15,Average,41,Probation,Level 3,No,,
609942.0,Strong,75,Strong,68,Not on Probation,Level 2,No,,
609943.0,Weak,34,Average,48,Not on Probation,Level 2,No,,
609944.0,Strong,62,Average,51,Not on Probation,Level 2,No,,
609945.0,Strong,70,Strong,74,Not on Probation,Level 1,No,,
609947.0,Average,49,Weak,31,Not on Probation,Level 2,No,,
609949.0,Average,57,Average,44,Not on Probation,Level 1,No,,
609950.0,NDA,,NDA,,NDA,NDA,No,,
609951.0,NDA,,NDA,,Not on Probation,Level 2,No,,
609952.0,NDA,,NDA,,Not on Probation,Level 2,Yes,,
609954.0,Average,44,Weak,39,Not on Probation,Level 1,No,,
609955.0,Weak,25,Very Weak,7,Probation,Level 2,No,,
609956.0,Strong,79,Average,56,Not on Probation,Level 1,No,,
609958.0,Average,46,Weak,30,Not on Probation,Level 1,No,,
609959.0,Weak,32,Weak,37,Not on Probation,Level 1,No,,
609960.0,Average,55,Average,51,Not on Probation,Level 2,No,,
609961.0,Weak,36,Strong,61,Probation,Level 2,No,,
609963.0,Strong,73,Strong,60,Not on Probation,Level 2,No,,
609964.0,Weak,33,Weak,29,Not on Probation,Level 2,No,,
609966.0,Average,40,Average,41,Not on Probation,Level 2,No,,
609967.0,Average,56,Average,50,Probation,Level 2,No,,
609968.0,NDA,,NDA,,Probation,Level 3,Yes,,
609969.0,Strong,63,Strong,77,Probation,Level 3,No,,
609971.0,Average,51,Strong,61,Probation,Level 2,No,,
609972.0,Average,43,Average,57,Not on Probation,Level 2,No,,
609973.0,Strong,60,Average,43,Not on Probation,Level 2,No,,
609974.0,Very Strong,92,Strong,61,Not on Probation,Level 1,Yes,,
609975.0,Average,44,Average,49,Probation,Level 2,No,,
609976.0,Strong,72,Average,52,Not on Probation,Level 1,No,,
609977.0,Strong,70,Very Strong,80,Not on Probation,Level 2,No,,
609978.0,Weak,22,Very Weak,1,Probation,Level 3,No,,
609979.0,Strong,63,Average,54,Not on Probation,Level 1,No,,
609981.0,Weak,33,Weak,31,Probation,Level 3,No,,
609983.0,Weak,22,Weak,22,Not on Probation,Level 2,No,,
609985.0,Weak,29,Weak,26,Not on Probation,Level 2,No,,
609986.0,Very Weak,16,Weak,32,Probation,Level 3,No,,
609987.0,Weak,33,Strong,67,Probation,Level 3,No,,
609988.0,Average,45,Average,46,Not on Probation,Level 1,No,,
609989.0,Average,50,Strong,64,Not on Probation,Level 1,No,,
609990.0,Very Strong,84,Weak,34,Not on Probation,Level 1,No,,
609991.0,Average,41,Average,53,Probation,Level 3,No,,
609993.0,Average,56,Average,45,Not on Probation,Level 1,No,,
609994.0,NDA,,NDA,,Not on Probation,Level 2,No,,
609995.0,Strong,64,Average,55,Not on Probation,Level 1,Yes,,
609996.0,Average,53,Average,50,Not on Probation,Level 2,No,,
609997.0,Weak,21,Weak,23,Probation,Level 3,No,,
610000.0,Strong,67,Very Strong,90,Probation,Level 1,No,,
610002.0,Strong,67,Strong,77,Not on Probation,Level 1,No,,
610003.0,Average,51,Average,45,Probation,Level 3,No,,
610004.0,Very Weak,14,Weak,28,Probation,Level 3,No,,
610005.0,Average,42,Very Strong,82,Probation,Level 3,No,,
610006.0,Strong,77,Average,50,Not on Probation,Level 1,No,,
610009.0,Strong,65,Average,40,Not on Probation,Level 1,No,,
610010.0,Strong,72,Strong,60,Not on Probation,Level 2,No,,
610011.0,Strong,64,Strong,62,Not on Probation,Level 1,No,,
610012.0,Average,50,Strong,62,Probation,Level 3,No,,
610013.0,Average,43,Average,49,Not on Probation,Level 1,No,,
610015.0,Weak,36,Average,56,Probation,Level 2,No,,
610016.0,Strong,76,Average,57,Not on Probation,Level 2,No,,
610017.0,Strong,60,Average,55,Not on Probation,Level 1,No,,
610018.0,Average,57,Weak,31,Probation,Level 3,No,,
610019.0,Strong,62,Strong,69,Not on Probation,Level 2,No,,
610020.0,Weak,37,Average,49,Probation,Level 2,No,,
610021.0,NDA,,NDA,,Probation,Level 3,No,,
610022.0,NDA,,NDA,,Not on Probation,Level 2,No,,
610023.0,Average,47,Average,44,Probation,Level 3,No,,
610024.0,NDA,,NDA,,Not on Probation,Level 1,No,,
