School_ID,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment_number_of_students,Freshman_on_Track_Rate
609893,NDA,NDA,NDA,590,NDA
609894,NDA,NDA,NDA,249,NDA
609895,NDA,NDA,NDA,373,NDA
609896,NDA,NDA,NDA,352,NDA
609897,NDA,NDA,NDA,331,NDA
609898,NDA,NDA,NDA,1777,NDA
609899,NDA,NDA,NDA,650,NDA
609900,NDA,NDA,NDA,504,NDA
609901,NDA,NDA,NDA,468,NDA
609902,NDA,NDA,NDA,489,NDA
609903,NDA,NDA,NDA,1503,NDA
609904,NDA,NDA,NDA,377,NDA
609906,NDA,NDA,NDA,460,NDA
609907,NDA,NDA,NDA,518,NDA
609908,NDA,NDA,NDA,342,NDA
609909,NDA,NDA,NDA,321,NDA
609910,NDA,NDA,NDA,1520,NDA
609912,NDA,NDA,NDA,574,NDA
609913,NDA,NDA,NDA,419,NDA
609916,NDA,NDA,NDA,238,NDA
609917,NDA,NDA,NDA,344,NDA
609918,NDA,NDA,NDA,375,NDA
609919,NDA,NDA,NDA,254,NDA
609920,NDA,NDA,NDA,713,NDA
609921,NDA,NDA,NDA,285,NDA
609922,NDA,NDA,NDA,634,NDA
609924,NDA,NDA,NDA,478,NDA
609925,NDA,NDA,NDA,293,NDA
609926,NDA,NDA,NDA,363,NDA
609927,NDA,NDA,NDA,418,NDA
609928,NDA,NDA,NDA,241,NDA
609929,NDA,NDA,NDA,466,NDA
609930,NDA,NDA,NDA,619,NDA
609932,NDA,NDA,NDA,340,NDA
609933,NDA,NDA,NDA,532,NDA
609935,NDA,NDA,NDA,1408,NDA
609937,NDA,NDA,NDA,720,NDA
609938,NDA,NDA,NDA,1204,NDA
609939,NDA,NDA,NDA,609,NDA
609941,NDA,NDA,NDA,573,NDA
609942,NDA,NDA,NDA,786,NDA
609943,NDA,NDA,NDA,285,NDA
609944,NDA,NDA,NDA,330,NDA
609945,NDA,NDA,NDA,805,NDA
609947,NDA,NDA,NDA,476,NDA
609949,NDA,NDA,NDA,1345,NDA
609950,NDA,NDA,NDA,793,NDA
609951,NDA,NDA,NDA,550,NDA
609952,NDA,NDA,NDA,631,NDA
609954,NDA,NDA,NDA,323,NDA
609955,NDA,NDA,NDA,359,NDA
609956,NDA,NDA,NDA,486,NDA
609958,NDA,NDA,NDA,867,NDA
609959,NDA,NDA,NDA,664,NDA
609960,NDA,NDA,NDA,872,NDA
609961,NDA,NDA,NDA,435,NDA
609963,NDA,NDA,NDA,307,NDA
609964,NDA,NDA,NDA,679,NDA
609966,NDA,NDA,NDA,446,NDA
609967,NDA,NDA,NDA,588,NDA
609968,NDA,NDA,NDA,862,NDA
609969,NDA,NDA,NDA,340,NDA
609971,NDA,NDA,NDA,476,NDA
609972,NDA,NDA,NDA,1299,NDA
609973,NDA,NDA,NDA,988,NDA
609974,NDA,NDA,NDA,569,NDA
609975,NDA,NDA,NDA,554,NDA
609976,NDA,NDA,NDA,1000,NDA
609977,NDA,NDA,NDA,238,NDA
609978,NDA,NDA,NDA,363,NDA
609979,NDA,NDA,NDA,1384,NDA
609981,NDA,NDA,NDA,364,NDA
609983,NDA,NDA,NDA,845,NDA
609985,NDA,NDA,NDA,259,NDA
609986,NDA,NDA,NDA,407,NDA
609987,NDA,NDA,NDA,307,NDA
609988,NDA,NDA,NDA,650,NDA
609989,NDA,NDA,NDA,398,NDA
609990,NDA,NDA,NDA,795,NDA
609991,NDA,NDA,NDA,512,NDA
609993,NDA,NDA,NDA,556,NDA
609994,NDA,NDA,NDA,1239,NDA
609995,NDA,NDA,NDA,542,NDA
609996,NDA,NDA,NDA,600,NDA
609997,NDA,NDA,NDA,334,NDA
610000,NDA,NDA,NDA,576,NDA
610002,NDA,NDA,NDA,288,NDA
610003,NDA,NDA,NDA,512,NDA
610004,NDA,NDA,NDA,233,NDA
610005,NDA,NDA,NDA,315,NDA
610006,NDA,NDA,NDA,830,NDA
610009,NDA,NDA,NDA,606,NDA
610010,NDA,NDA,NDA,495,NDA
610011,NDA,NDA,NDA,811,NDA
610012,NDA,NDA,NDA,314,NDA
610013,NDA,NDA,NDA,447,NDA
610015,NDA,NDA,NDA,286,NDA
610016,NDA,NDA,NDA,283,NDA
610017,NDA,NDA,NDA,1306,NDA
610018,NDA,NDA,NDA,222,NDA
610019,NDA,NDA,NDA,262,NDA
610020,NDA,NDA,NDA,301,NDA
610021,NDA,NDA,NDA,505,NDA
610022,NDA,NDA,NDA,886,NDA
610023,NDA,NDA,NDA,264,NDA
610024,NDA,NDA,NDA,654,NDA
610026,NDA,NDA,NDA,733,NDA
610027,NDA,NDA,NDA,445,NDA
610028,NDA,NDA,NDA,428,NDA
610029,NDA,NDA,NDA,319,NDA
610030,NDA,NDA,NDA,403,NDA
610031,NDA,NDA,NDA,474,NDA
610032,NDA,NDA,NDA,254,NDA
610033,NDA,NDA,NDA,576,NDA
610034,NDA,NDA,NDA,508,NDA
610036,NDA,NDA,NDA,565,NDA
610037,NDA,NDA,NDA,539,NDA
610038,NDA,NDA,NDA,813,NDA
610039,NDA,NDA,NDA,644,NDA
610040,NDA,NDA,NDA,1334,NDA
610041,NDA,NDA,NDA,1317,NDA
610043,NDA,NDA,NDA,490,NDA
610044,NDA,NDA,NDA,593,NDA
610045,NDA,NDA,NDA,371,NDA
610046,NDA,NDA,NDA,1423,NDA
610047,NDA,NDA,NDA,317,NDA
610048,NDA,NDA,NDA,396,NDA
610051,NDA,NDA,NDA,756,NDA
610052,NDA,NDA,NDA,472,NDA
610053,NDA,NDA,NDA,1390,NDA
610054,NDA,NDA,NDA,841,NDA
610055,NDA,NDA,NDA,194,NDA
610056,NDA,NDA,NDA,479,NDA
610057,NDA,NDA,NDA,604,NDA
610058,NDA,NDA,NDA,458,NDA
610059,NDA,NDA,NDA,605,NDA
610060,NDA,NDA,NDA,556,NDA
610061,NDA,NDA,NDA,453,NDA
610062,NDA,NDA,NDA,283,NDA
610063,NDA,NDA,NDA,894,NDA
610065,NDA,NDA,NDA,471,NDA
610066,NDA,NDA,NDA,199,NDA
610067,NDA,NDA,NDA,891,NDA
610068,NDA,NDA,NDA,1499,NDA
610070,NDA,NDA,NDA,695,NDA
610072,NDA,NDA,NDA,237,NDA
610073,NDA,NDA,NDA,344,NDA
610074,NDA,NDA,NDA,1125,NDA
610075,NDA,NDA,NDA,21,NDA
610076,NDA,NDA,NDA,429,NDA
610077,NDA,NDA,NDA,823,NDA
610078,NDA,NDA,NDA,690,NDA
610081,NDA,NDA,NDA,535,NDA
610082,NDA,NDA,NDA,909,NDA
610083,NDA,NDA,NDA,160,NDA
610084,NDA,NDA,NDA,245,NDA
610085,NDA,NDA,NDA,91,NDA
610086,NDA,NDA,NDA,290,NDA
610087,NDA,NDA,NDA,137,NDA
610088,NDA,NDA,NDA,748,NDA
610089,NDA,NDA,NDA,638,NDA
610090,NDA,NDA,NDA,533,NDA
610091,NDA,NDA,NDA,283,NDA
610092,NDA,NDA,NDA,393,NDA
610093,NDA,NDA,NDA,306,NDA
610094,NDA,NDA,NDA,729,NDA
610095,NDA,NDA,NDA,558,NDA
610096,NDA,NDA,NDA,1382,NDA
610097,NDA,NDA,NDA,1061,NDA
610098,NDA,NDA,NDA,801,NDA
610099,NDA,NDA,NDA,359,NDA
610100,NDA,NDA,NDA,686,NDA
610101,NDA,NDA,NDA,722,NDA
610102,NDA,NDA,NDA,402,NDA
610103,NDA,NDA,NDA,575,NDA
610104,NDA,NDA,NDA,687,NDA
610105,NDA,NDA,NDA,648,NDA
610106,NDA,NDA,NDA,549,NDA
610107,NDA,NDA,NDA,491,NDA
610108,NDA,NDA,NDA,511,NDA
610109,NDA,NDA,NDA,243,NDA
610110,NDA,NDA,NDA,215,NDA
610111,NDA,NDA,NDA,919,NDA
610112,NDA,NDA,NDA,808,NDA
610114,NDA,NDA,NDA,224,NDA
610115,NDA,NDA,NDA,352,NDA
610116,NDA,NDA,NDA,348,NDA
610117,NDA,NDA,NDA,1173,NDA
610119,NDA,NDA,NDA,289,NDA
610120,NDA,NDA,NDA,1560,NDA
610121,NDA,NDA,NDA,482,NDA
610122,NDA,NDA,NDA,977,NDA
610123,NDA,NDA,NDA,423,NDA
610124,NDA,NDA,NDA,549,NDA
610125,NDA,NDA,NDA,916,NDA
610126,NDA,NDA,NDA,258,NDA
610127,NDA,NDA,NDA,860,NDA
610128,NDA,NDA,NDA,356,NDA
610129,NDA,NDA,NDA,656,NDA
610130,NDA,NDA,NDA,384,NDA
610131,NDA,NDA,NDA,171,NDA
610132,NDA,NDA,NDA,192,NDA
610133,NDA,NDA,NDA,429,NDA
610134,NDA,NDA,NDA,200,NDA
610135,NDA,NDA,NDA,1139,NDA
610136,NDA,NDA,NDA,240,NDA
610137,NDA,NDA,NDA,672,NDA
610138,NDA,NDA,NDA,864,NDA
610139,NDA,NDA,NDA,259,NDA
610141,NDA,NDA,NDA,465,NDA
610142,NDA,NDA,NDA,654,NDA
610143,NDA,NDA,NDA,311,NDA
610144,NDA,NDA,NDA,1195,NDA
610145,NDA,NDA,NDA,832,NDA
610146,NDA,NDA,NDA,320,NDA
610147,NDA,NDA,NDA,735,NDA
610148,NDA,NDA,NDA,915,NDA
610150,NDA,NDA,NDA,350,NDA
610152,NDA,NDA,NDA,417,NDA
610153,NDA,NDA,NDA,302,NDA
610154,NDA,NDA,NDA,445,NDA
610155,NDA,NDA,NDA,549,NDA
610156,NDA,NDA,NDA,93,NDA
610157,NDA,NDA,NDA,1846,NDA
610158,NDA,NDA,NDA,605,NDA
610159,NDA,NDA,NDA,937,NDA
610160,NDA,NDA,NDA,352,NDA
610161,NDA,NDA,NDA,345,NDA
610163,NDA,NDA,NDA,260,NDA
610165,NDA,NDA,NDA,949,NDA
610167,NDA,NDA,NDA,896,NDA
610169,NDA,NDA,NDA,337,NDA
610170,NDA,NDA,NDA,1038,NDA
610171,NDA,NDA,NDA,905,NDA
610172,NDA,NDA,NDA,462,NDA
610173,NDA,NDA,NDA,355,NDA
610174,NDA,NDA,NDA,1834,NDA
610175,NDA,NDA,NDA,325,NDA
610176,NDA,NDA,NDA,553,NDA
610177,NDA,NDA,NDA,784,NDA
610178,NDA,NDA,NDA,185,NDA
610179,NDA,NDA,NDA,1047,NDA
610180,NDA,NDA,NDA,475,NDA
610182,NDA,NDA,NDA,363,NDA
610183,NDA,NDA,NDA,811,NDA
610184,NDA,NDA,NDA,809,NDA
610185,NDA,NDA,NDA,1324,NDA
610187,NDA,NDA,NDA,280,NDA
610188,NDA,NDA,NDA,310,NDA
610189,NDA,NDA,NDA,462,NDA
610191,NDA,NDA,NDA,646,NDA
610192,NDA,NDA,NDA,893,NDA
610193,NDA,NDA,NDA,527,NDA
610194,NDA,NDA,NDA,430,NDA
610195,NDA,NDA,NDA,762,NDA
610196,NDA,NDA,NDA,709,NDA
610197,NDA,NDA,NDA,580,NDA
610198,NDA,NDA,NDA,632,NDA
610199,NDA,NDA,NDA,266,NDA
610200,NDA,NDA,NDA,449,NDA
610201,NDA,NDA,NDA,834,NDA
610202,NDA,NDA,NDA,321,NDA
610203,NDA,NDA,NDA,1021,NDA
610205,NDA,NDA,NDA,438,NDA
610206,NDA,NDA,NDA,1161,NDA
610207,NDA,NDA,NDA,317,NDA
610208,NDA,NDA,NDA,394,NDA
610209,NDA,NDA,NDA,1023,NDA
610210,NDA,NDA,NDA,398,NDA
610212,NDA,NDA,NDA,266,NDA
610213,NDA,NDA,NDA,277,NDA
610215,NDA,NDA,NDA,314,NDA
610216,NDA,NDA,NDA,501,NDA
610217,NDA,NDA,NDA,492,NDA
610218,NDA,NDA,NDA,328,NDA
610219,NDA,NDA,NDA,813,NDA
610220,NDA,NDA,NDA,590,NDA
610221,NDA,NDA,NDA,370,NDA
610223,NDA,NDA,NDA,365,NDA
610224,NDA,NDA,NDA,343,NDA
610225,NDA,NDA,NDA,375,NDA
610226,NDA,NDA,NDA,1186,NDA
610227,NDA,NDA,NDA,1133,NDA
610228,NDA,NDA,NDA,409,NDA
610229,NDA,NDA,NDA,669,NDA
610230,NDA,NDA,NDA,414,NDA
610231,NDA,NDA,NDA,446,NDA
610232,NDA,NDA,NDA,266,NDA
610233,NDA,NDA,NDA,182,NDA
610234,NDA,NDA,NDA,690,NDA
610235,NDA,NDA,NDA,1111,NDA
610237,NDA,NDA,NDA,411,NDA
610238,NDA,NDA,NDA,343,NDA
610239,NDA,NDA,NDA,797,NDA
610240,NDA,NDA,NDA,271,NDA
610241,NDA,NDA,NDA,245,NDA
610242,NDA,NDA,NDA,362,NDA
610243,NDA,NDA,NDA,328,NDA
610244,13,87.4,60.4,726,78.2
610245,5.1,52.8,39.5,354,77.1
610246,NDA,NDA,NDA,1365,NDA
610248,NDA,NDA,NDA,601,NDA
610249,NDA,NDA,NDA,376,NDA
610250,NDA,NDA,NDA,444,NDA
610251,NDA,NDA,NDA,234,NDA
