School_ID,Average_Student_Attendance,Rate_of_Misconducts_per_100_students
610520,95.1,5.6
610521,93.0,57.8
610523,96.1,6.9
610524,92.7,7.1
610529,94.2,13.7
610530,93.6,22.4
610532,95.5,14.8
610533,94.7,7.0
610534,96.4,0.0
610535,90.4,44.3
610539,95.1,4.3
610541,96.8,43.8
610542,94.9,6.8
610543,92.2,3.0
610544,95.5,19.7
