School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
610180,John M Smyth Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Track_E,38,28
610182,Hannah G Solomon Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,13
610183,Spencer Technology Academy,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
610184,John Spry Elementary Community School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,39,30
610185,Adlai E Stevenson Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,70
610187,Graeme Stewart Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
610188,Dunne Technology Academy,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,49
610189,Joseph Stockton Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
610191,Stone Elementary Scholastic Academy,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
610192,Harriet Beecher Stowe Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Standard,34,23
610193,William K New Sullivan Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,47,46
610194,Charles Sumner  Math & Science Community Acad Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Standard,36,26
610195,Elizabeth H Sutherland Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,49,72
610196,George B Swift Elementary Specialty School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,77
610197,Mancel Talcott Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
610198,Douglas Taylor Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,52
