School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
400018,Austin Business and Entrepreneurship Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Non_Standard,36,25
609674,Chicago Vocational Career Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,47,45
609676,Paul Laurence Dunbar Career Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,40,35
609678,William Jones College Preparatory High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,38,32
609679,Charles Allen Prosser Career Academy High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,19
609680,Walter Payton College Preparatory High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,8
609682,Ellen H Richards Career Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,61
609691,North-Grand High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,34,23
609692,Neal F Simeon Career Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,45,44
609693,George Westinghouse High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,34,23
609694,John Hancock College Preparatory High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,62
609695,Roald Amundsen High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,4
609698,William J Bogan High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,70
609702,Richard T Crane Technical Preparatory High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,28
609704,David G Farragut Career Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,37,30
609705,Christian Fenger Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,49
609707,Paul Robeson High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
609708,Edwin G Foreman High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,15
609709,Gage Park High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,63
609710,John M Harlan Community Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609711,William Rainey Harper High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609712,Emil G Hirsch Metropolitan High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Track_E,46,69
609713,Hyde Park Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,46,42
609715,Thomas Kelly High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,58
609716,Kelvyn Park High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,20
609718,John F Kennedy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,56
609719,Lake View High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
609720,Albert G Lane Technical High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,5
609722,Manley Career Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,37,27
609723,John Marshall Metropolitan High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,27
609724,Stephen T Mather High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
609725,Morgan Park High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,75
609726,Gwendolyn Brooks College Preparatory Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609727,Wendell Phillips Academy High School,HS,AUSL Schools,SOUTH SIDE COLLABORATIVE,Track_E,40,35
609728,Theodore Roosevelt High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,14
609729,Carl Schurz High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,16
609730,Nicholas Senn High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,77
609732,Charles P Steinmetz Academic Centre High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,19
609733,Roger C Sullivan High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,1
609734,William Howard Taft High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,10
609735,Edward Tilden Career Community Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,61
609736,Dyett High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Track_E,42,40
609737,Friedrich W von Steuben Metropolitan Science High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,13
609738,Lincoln Park High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,7
609739,George Washington High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,52
609740,Wells Community Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,35,24
609741,Gurdon S Hubbard High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,65
609744,Northside Learning Center High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,13
609745,Southside Occupational Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609746,Kenwood Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,46,39
609749,Northside College Preparatory High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,13
609751,Dr  Martin Luther King  Jr  College Prep High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,40,39
609753,Chicago High School for Agricultural Sciences,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,74
609754,Chicago Military Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,40,35
609755,Whitney M Young Magnet High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,28
609756,Marie Sklodowska Curie Metropolitan High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,37,57
609759,Roberto Clemente Community Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,35,24
609760,George Washington Carver Military Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,54
609761,George H Corliss High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,50
609762,Percy L Julian High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,49,73
609764,Benito Juarez Community Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,39,31
609766,Jacqueline B Vaughn Occupational High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,30,15
609768,Hope College Preparatory High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,45,68
609769,Ray Graham Training Center High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,40,33
609772,Jane Addams Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,52
609773,Louis A Agassiz Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
609774,Louisa May Alcott Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,7
609775,John P Altgeld Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609777,Phillip D Armour Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,40,60
609779,George Armstrong International Studies Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
609780,Ames Middle School,MS,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,34,22
609781,Crispus Attucks Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,38
609782,John J Audubon Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,5
609786,Avalon Park Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,47,45
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,72
609789,John Barry Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,20
609790,Clara Barton Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,71
609791,Perkins Bass Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
609792,Newton Bateman Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,16
609793,Nicholson Technology Academy,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
609794,Thomas A Edison Regional Gifted Center Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,14
609795,George Rogers Clark Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
609796,Jean Baptiste Beaubien Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,11
609797,Jacob Beidler Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,34,27
609798,Hiram H Belding Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,16
609799,Alexander Graham Bell Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,5
609800,Frank I Bennett Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609803,James G Blaine Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
609804,Daniel Boone Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
609805,Scott Joplin Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,71
609806,Myra Bradwell Communications Arts & Sciences Elementary School,ES,AUSL Schools,SOUTH SIDE COLLABORATIVE,Standard,46,43
609807,Lionel Hampton Fine & Performing Arts Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,44,70
609808,Alex Haley Elementary Academy,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609809,Lorenz Brentano Math & Science Academy Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,22
609810,Norman A Bridge Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,17
609811,Orville T Bright Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,51
609812,William H Brown Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,38,28
609813,Charles S Brownell Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,42,69
609815,Edward A Bouchet Math & Science Academy Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,43
609817,Lyman A Budlong Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,4
609818,Luther Burbank Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,19
609819,Edmond Burke Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,42,40
609820,Augustus H Burley Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
609821,Burnham Elementary Inclusive Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,51
609826,Rosario Castellanos Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
609827,Burnside Elementary Scholastic Academy,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,45,44
609828,Jonathan Burr Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Track_E,35,24
609829,John C Burroughs Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,39,58
609830,Milton Brunson Math & Science Specialty Elementary School ,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
609832,Michael M Byrne Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,56
609833,Charles P Caldwell Academy of Math & Science Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,47,45
609834,Little Village Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
609835,Daniel R Cameron Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,34,23
609836,Arthur E Canty Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,17
609837,Andrew Carnegie Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,42
609839,Carroll-Rosenwald Specialty Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,70
609842,Rachel Carson Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,63
609844,William W Carter Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,40
609845,George Washington Carver Primary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,54
609848,Ira F Aldridge Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,54
609849,George F Cassell Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,74
609850,Horace Greeley Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,6
609851,Thomas Chalmers Specialty Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,39,29
609852,Eliza Chappell Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,4
609853,Salmon P Chase Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,35,22
609854,Frederic Chopin Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
609855,Walter S Christopher Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,43,63
609856,Henry Clay Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,55
609857,Grover Cleveland Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,16
609859,DeWitt Clinton Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
609861,Henry R Clissold Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,49,75
609862,Edward Coles Elementary Language Academy,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,47,46
609863,Christopher Columbus Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
609864,John W Cook Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,49,71
609865,Jordan Elementary Community School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,1
609866,John C Coonley Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,5
609867,Peter Cooper Elementary Dual Language Academy,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,39,31
609869,Anna R. Langford Community Academy,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609870,Daniel J Corkery Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
609871,Barbara Vick Early Childhood & Family Center,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,75
609872,Manuel Perez Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,39,31
609873,Crown Community Academy of Fine Arts Center Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,29
609874,Everett McKinley Dirksen Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,30,76
609875,Charles R Darwin Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,22
609876,Nathan S Davis Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,58
609879,Charles Gates Dawes Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,70
609880,Stephen Decatur Classical Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
609881,Edward C Delano Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,34,26
609883,Charles S Deneen Elementary School,ES,AUSL Schools,SOUTH SIDE COLLABORATIVE,Track_E,46,69
609884,William E Dever Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,17
609885,Dewey Elementary Academy of Fine Arts,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,45,61
609887,Arthur Dixon Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,45,44
609888,Mary Mapes Dodge Elementary Renaissance Academy,ES,AUSL Schools,WEST SIDE COLLABORATIVE,Track_E,38,27
609891,James R Doolittle Jr Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,40,35
609893,John C Dore Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,64
609894,John B Drake Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,40,35
609895,Turner-Drew Elementary Language Academy,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609896,Thomas Drummond Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,35,22
609897,Charles W Earle Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609898,John F Eberhart Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,66
609899,Christian Ebinger Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,9
609900,George W Curtis Elementary School,ES,AUSL Schools,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609901,Edgebrook Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,12
609902,Ralph H Metcalfe Elementary Community Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,53
609903,Richard Edwards Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,44,57
609904,Edward K Ellington Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
609906,Robert Emmet Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
609907,Leif Ericson Elementary Scholastic Academy,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Standard,34,27
609908,Esmond Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,75
609909,Edward Everett Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,39,59
609910,Laughlin Falconer Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,19
609912,James B Farnsworth Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,30,11
609913,Elaine O Goodlow Elementary Magnet School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,43,67
609916,Enrico Fermi Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,43
609917,Fernwood Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,73
609918,Eugene Field Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,1
609919,John Fiske Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,46,42
609920,Gerald Delgado Kanoon Elementary Magnet School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
609921,Telpochcalli Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,39,30
609922,Belmont-Cragin Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,29,19
609924,Fort Dearborn Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,49,73
609925,Joseph Kellman Corporate Community Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,27
609926,Franklin Elementary Fine Arts Center,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,8
609927,Foster Park Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,43,71
609928,Melville W Fuller Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,40,38
609929,Robert Fulton Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,61
609930,Frederick Funston Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,34,22
609932,Jesse Owens Elementary Community Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,53
609933,Stephen F Gale Elementary Community Academy,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,1
609935,Matthew Gallistel Elementary Language Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,52
609937,John W Garvy Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,10
609938,Joseph E Gary Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,37,30
609939,Frank L Gillespie Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609941,Asa Philip Randolph Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609942,Johann W von Goethe Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,22
609943,Samuel Gompers Fine Arts Options Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,53
609944,Virgil Grissom Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,55
609945,William C Goudy Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
609947,Alexander Graham Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,42,61
609949,William P Gray Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,15
609950,Josefa Ortiz De Dominguez Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,37,30
609951,Ariel Elementary Community Academy,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,39
609952,Nathanael Greene Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,39,59
609954,John Milton Gregory Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,27
609955,Walter Q Gresham Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,45,71
609956,Robert L Grimes Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,64
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,58
609959,John Charles Haines Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,40,34
609960,Nathan Hale Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,64
609961,Ninos Heroes Elementary Academic Center,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,47,46
609963,Alexander Hamilton Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
609964,John H Hamline Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,42,61
609966,Charles G Hammond Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,39,30
609967,William F Finkl Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,39,31
609968,Sharon Christa McAuliffe Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,34,20
609969,Bret Harte Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,41
609971,John Harvard Elementary School of Excellence,ES,AUSL Schools,SOUTH SIDE COLLABORATIVE,Track_E,45,69
609972,Helge A Haugan Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,14
609973,Emiliano Zapata Elementary Academy,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
